Line Ref. No.,Billing Organization,NYISO Name,Zone,PTID,Town,County,State,In-Service Date,Name Plate Rating (MW),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Dual Fuel,Unit Type,Fuel Type (primary),Fuel Type (secondary),2018 Net Energy (GWh),Latitude,Longitude
R1403,"Consolidated Edison Co. of NY, Inc.",59 St.  GT 1,J,24138,Manhattan,61,36,06/01/1969,17.1,15.4,20.1,15.5,21.6,YES,Combustion Turbine,Kerosene,Natural Gas,0.2,40.772385,-73.993028
R1709,"Consolidated Edison Co. of NY, Inc.",74 St.  GT 1,J,24260,Manhattan,61,36,10/01/1968,18.5,19,23.5,19,19.9,,Combustion Turbine,Kerosene,,0.2,40.768421,-73.951731
R1433,"Consolidated Edison Co. of NY, Inc.",74 St.  GT 2,J,24261,Manhattan,61,36,10/01/1968,18.5,20.1,25.7,18.9,21.2,,Combustion Turbine,Kerosene,,0.2,40.768421,-73.951731
R1067,New York State Elec. & Gas Corp.,AA Dairy,C,5013,Ithaca,109,36,06/01/1998,0.1,0,0,0,0,,Internal Combustion,Methane,,0,,
R1381,"Consolidated Edison Energy, Inc.",Albany LFGE,F,323615,Albany,1,36,05/01/1998,5.6,4.5,4.5,5.6,5.6,,Internal Combustion,Methane,,28.7,,
R1382,Niagara Mohawk Power Corp.,Allied Frozen Storage,A,23774,Cheektowaga,29,36,05/01/2008,0.1,0,0,0,0,,Internal Combustion,Natural Gas,,0.1,42.842029,-78.722673
R1383,Cubit Power One Inc.,Arthur Kill Cogen,J,323718,Staten Island,85,36,05/22/2018,11.1,11.1,11.1,0,0,,Internal Combustion,Natural Gas,,0.2,40.5915,-74.2027
R1384,NRG Power Marketing LLC,Arthur Kill GT 1,J,23520,Staten Island,85,36,06/01/1970,20,16.5,21.6,12.1,15.1,,Combustion Turbine,Natural Gas,,1,40.5915,-74.2027
R1537,Astoria Generating Company L.P.,Astoria GT 01,J,23523,Queens,81,36,07/01/1967,16,15.7,20.5,14.2,18.9,,Combustion Turbine,Natural Gas,,1,40.7864,-73.9133
R1369,New York State Elec. & Gas Corp.,Auburn - State St.,C,24147,Auburn,11,36,01/01/1995,7.4,5.8,8.2,1.7,7.3,,Combustion Turbine,Natural Gas,,0,,
R1414,Long Island Power Authority,Babylon (RR),K,323704,Babylon,103,36,04/01/1989,17,15.5,15.5,14.6,14.6,,Steam Turbine,Refuse,,112.1,,
R1418,Long Island Power Authority,Barrett 03,K,23706,Island Park,59,36,06/01/1970,18,17.9,23.4,16.1,19.9,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,6.5,40.6169,-73.6486
R1419,Long Island Power Authority,Barrett 04,K,23707,Island Park,59,36,07/01/1970,18,17.7,23.1,17.8,20.8,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,9.3,40.6169,-73.6486
R1427,Long Island Power Authority,Barrett 05,K,23708,Island Park,59,36,07/01/1970,18,17.8,23.3,18.4,20.1,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,7,40.6169,-73.6486
R1145,Long Island Power Authority,Barrett 06,K,23709,Island Park,59,36,07/01/1970,18,17.8,23.3,17,19.4,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,4.6,40.6169,-73.6486
R1082,Long Island Power Authority,Barrett 08,K,23711,Island Park,59,36,07/01/1970,18,17.3,22.6,17.6,20.2,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,4.6,40.6169,-73.6486
R1702,Long Island Power Authority,Barrett GT 01,K,23704,Island Park,59,36,06/01/1970,18,18.1,23.6,18.4,20.1,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,3.9,40.6169,-73.6486
R1417,Long Island Power Authority,Barrett GT 02,K,23705,Island Park,59,36,06/01/1970,18,17.4,22.7,17,19.3,YES,Combustion Turbine,Natural Gas,Fuel Oil 2,3.9,40.6169,-73.6486
R1042,"Binghamton BOP, LLC",Binghamton (RET - 1/9/18),C,23790,Binghamton,7,36,03/01/2001,47.7,43.8,57.2,0,0,YES,Combined Cycle,Natural Gas,Kerosene,3.5,42.107192,-75.927782
R1043,"Consolidated Edison Energy, Inc.",Broome 2 LFGE,C,323671,Binghamton,7,36,01/31/2013,2.1,2,2,2,2,,Internal Combustion,Methane,,18.6,,
R1044,New York State Elec. & Gas Corp.,Broome LFGE,C,323600,Binghamton,7,36,09/01/2007,2.4,2.1,2.1,2.1,2.1,,Internal Combustion,Methane,,6.3,,
R1045,Niagara Mohawk Power Corp.,"Burrstone Engy Center, LLC LU",E,23633,Utica,65,36,11/01/2009,1.1,0,0,0,0,,Internal Combustion,Natural Gas,,0.9,43.09534,-75.278357
